course_id,level_id,module_id,topic_id,topic_title,subtopic_count,risk_tags,status,note,source
javascript,entry,js,variables,Variables & Declarations,7,legacy,verified_with_legacy_note,Legacy topic is explicitly labeled to avoid confusion with modern defaults.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,entry,js,data-types,Data Types — Primitive & Reference,9,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,entry,js,operators,"Operators — Arithmetic, Logical & Comparison",9,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,entry,js,control-flow,Control Flow — Conditionals & Loops,8,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,entry,js,type-coercion,Type Coercion — Implicit & Explicit Conversion,6,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,entry,js,console-debugging,Console & Debugging,6,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,entry,js,functions-basics,"Functions — Declaration, Expression & Arrow",6,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,entry,js,strings-arrays-basics,Strings & Arrays — Essential Operations,7,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,entry,js,objects-basics,"Objects — Literals, Properties & Methods",8,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,entry,js,comments-syntax,"Comments, Semicolons & Code Structure",6,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,entry,js,dom-preview,"Browser Interaction — alert, prompt & confirm",6,legacy,verified_with_legacy_note,Legacy topic is explicitly labeled to avoid confusion with modern defaults.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,entry,js,number-methods,Number Methods & Conversions,7,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,entry,dsa,arrays-basics,Arrays — Complete Operations & Manipulation,10,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,entry,dsa,string-dsa,"String Manipulation — Reverse, Palindrome & More",7,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,entry,dsa,basic-math,Math & Number Problems,9,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,entry,dsa,pattern-problems,Pattern Printing Problems,8,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,entry,dsa,intro-complexity,Big O Notation — Time & Space Complexity,7,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,entry,dsa,basic-searching,Linear Search & Basic Lookup,5,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,entry,dsa,frequency-count-basic,Frequency Counting — Object as Map,5,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,entry,iq,js-fundamentals-qa,JS Fundamentals,6,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,entry,iq,variables-qa,Variables & Types Q&A,7,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,entry,iq,operators-flow-qa,Operators & Control Flow Q&A,6,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,entry,iq,functions-basics-qa,Functions Basics Q&A,6,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,entry,iq,strings-arrays-qa,Strings & Arrays Basics Q&A,6,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,entry,iq,problem-solving-qa,Problem Solving Approach Q&A,6,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,junior,js,functions,"Functions — In Depth (HOF, Callbacks, IIFE)",8,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,junior,js,objects,"Objects — In Depth (Destructuring, Spread, Freeze)",9,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,junior,js,array-methods,"Array Methods — map, filter, reduce & More",11,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,junior,js,scope-closures,"Scope & Closures — Lexical, Block & Chain",8,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,junior,js,this-keyword,The 'this' Keyword,7,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,junior,js,error-handling,Error Handling — try/catch & Custom Errors,5,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,junior,js,dom-basics,DOM Manipulation — Elements & Events,10,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,junior,js,dates-time,Date & Time,8,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,junior,js,json-methods,"JSON — parse, stringify & Deep Clone",7,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,junior,js,map-set,Map & Set,8,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,junior,js,math-number-methods,Math & Number Methods,9,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,junior,js,string-methods-advanced,String Methods Advanced,9,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,junior,js,event-loop-intro,Event Loop & Asynchronous Preview,6,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,junior,js,iteration-protocols,Iterables & for...of Protocol,6,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
javascript,junior,js,storage-basics,Web Storage — localStorage & sessionStorage,6,,verified,Topic is aligned with official reference documentation.,https://developer.mozilla.org/en-US/docs/Web/JavaScript
